,Response,Context,Subject,Item,Rater
703,2,n-o,p07,muus-w,R01
704,1,n-o,p07,mooz-w,R01
705,2,7-o,p07,7ook-w,R01
706,1,7-n,p07,7oom-w,R01
707,2,3-o,p07,3aaf-w,R01
708,3,3-o,p07,3eeb-w,R01
709,2,isolation,p07,3eeb-v,R01
710,2,o-n,p07,saam-w,R01
711,2,isolation,p07,saam-v,R01
712,2,3-n,p07,3aam-w,R01
713,2,7-o,p07,7aad-w,R01
714,2,3-n,p07,3een-w,R01
715,1,3-o,p07,3iish-w,R01
716,2,7-o,p07,7eef-w,R01
717,2,isolation,p07,7eef-v,R01
718,2,o-3,p07,baa3-w,R01
719,2,o-o,p07,beet-w,R01
720,2,o-o,p07,boosh-w,R01
721,1,n-3,p08,noo3-w,R01
722,2,isolation,p08,noo3-v,R01
723,2,o-o,p08,daas-w,R01
724,1,n-o,p08,maat-w,R01
725,2,isolation,p08,maat-v,R01
726,2,7-n,p08,7en-w,R01
727,1,o-n,p08,diin-w,R01
728,3,o-3,p08,djuu3-w,R01
729,1,isolation,p08,djuu3-v,R01
730,3,n-7,p08,nuu7-w,R01
731,2,isolation,p08,nuu7-v,R01
732,1,3--3,p08,3oo3-w,R01
733,2,isolation,p08,3oo3-v,R01
734,2,o-7,p08,loo7-w,R01
735,2,o-3,p08,bii3-w,R01
736,2,isolation,p08,bii3-v,R01
737,3,o-7,p08,zii7-w,R01
738,3,o-7,p08,zaa7-w,R01
739,2,o-n,p08,doom-w,R01
740,2,isolation,p08,doom-v,R01
741,3,3-n,p08,3oon-w,R01
742,2,n-n,p08,noom-w,R01
743,1,n-n,p08,muun-w,R01
744,2,n-o,p08,muus-w,R01
745,2,n-o,p08,mooz-w,R01
746,3,7-o,p08,7ook-w,R01
747,3,7-n,p08,7oom-w,R01
748,2,3-o,p08,3aaf-w,R01
749,3,n-7,p08,naa7-w,R01
750,1,isolation,p08,naa7-v,R01
751,1,n-n,p08,naam-w,R01
752,2,isolation,p08,naam-v,R01
753,2,3-o,p08,3eeb-w,R01
754,2,isolation,p08,3eeb-v,R01
755,1,o-n,p08,saam-w,R01
756,2,isolation,p08,saam-v,R01
757,3,3-n,p08,3aam-w,R01
758,3,7-o,p08,7aad-w,R01
759,3,3-n,p08,3een-w,R01
760,3,3-o,p08,3iish-w,R01
761,3,7-o,p08,7eef-w,R01
762,2,isolation,p08,7eef-v,R01
763,2,o-3,p08,baa3-w,R01
764,2,o-o,p08,beet-w,R01
765,2,o-o,p08,boosh-w,R01
766,2,n-3,p09,noo3-w,R01
767,2,isolation,p09,noo3-v,R01
768,2,o-o,p09,daas-w,R01
769,2,n-o,p09,maat-w,R01
770,2,isolation,p09,maat-v,R01
771,2,7-n,p09,7en-w,R01
772,2,o-n,p09,diin-w,R01
773,2,o-7,p09,zaa7-w,R01
774,3,o-3,p09,djuu3-w,R01
775,2,isolation,p09,djuu3-v,R01
776,2,n-7,p09,nuu7-w,R01
777,1,isolation,p09,nuu7-v,R01
778,3,3--3,p09,3oo3-w,R01
779,2,isolation,p09,3oo3-v,R01
780,2,o-7,p09,loo7-w,R01
781,3,o-3,p09,bii3-w,R01
782,2,isolation,p09,bii3-v,R01
783,2,o-7,p09,zii7-w,R01
784,1,n-n,p09,noom-w,R01
785,1,n-n,p09,muun-w,R01
786,1,n-o,p09,muus-w,R01
787,1,n-o,p09,mooz-w,R01
788,2,7-o,p09,7ook-w,R01
789,1,7-n,p09,7oom-w,R01
790,3,3-o,p09,3aaf-w,R01
791,2,n-7,p09,naa7-w,R01
792,2,isolation,p09,naa7-v,R01
793,1,n-n,p09,naam-w,R01
794,2,isolation,p09,naam-v,R01
795,2,o-n,p09,doom-w,R01
796,2,isolation,p09,doom-v,R01
797,1,3-n,p09,3oon-w,R01
798,2,3-o,p09,3eeb-w,R01
799,2,isolation,p09,3eeb-v,R01
800,2,o-n,p09,saam-w,R01
801,2,isolation,p09,saam-v,R01
802,2,3-n,p09,3aam-w,R01
803,3,7-o,p09,7aad-w,R01
804,3,3-n,p09,3een-w,R01
805,3,3-o,p09,3iish-w,R01
806,2,7-o,p09,7eef-w,R01
807,2,isolation,p09,7eef-v,R01
808,2,o-3,p09,baa3-w,R01
809,2,o-o,p09,beet-w,R01
810,2,o-o,p09,boosh-w,R01
811,2,n-3,p04,noo3-w,R03
812,2,isolation,p04,noo3-v,R03
813,2,o-3,p04,djuu3-w,R03
814,2,isolation,p04,djuu3-v,R03
815,3,n-7,p04,nuu7-w,R03
816,2,isolation,p04,nuu7-v,R03
817,2,3--3,p04,3oo3-w,R03
818,2,isolation,p04,3oo3-v,R03
819,2,o-7,p04,loo7-w,R03
820,3,o-3,p04,bii3-w,R03
821,2,isolation,p04,bii3-v,R03
822,3,o-7,p04,zii7-w,R03
823,2,o-o,p04,daas-w,R03
824,2,n-o,p04,maat-w,R03
825,2,isolation,p04,maat-v,R03
826,2,7-n,p04,7en-w,R03
827,2,o-n,p04,diin-w,R03
828,2,o-7,p04,zaa7-w,R03
829,2,n-7,p04,naa7-w,R03
830,2,isolation,p04,naa7-v,R03
831,2,n-n,p04,naam-w,R03
832,2,isolation,p04,naam-v,R03
833,2,o-n,p04,doom-w,R03
834,2,isolation,p04,doom-v,R03
835,2,3-n,p04,3oon-w,R03
836,2,n-n,p04,noom-w,R03
837,2,n-n,p04,muun-w,R03
838,3,n-o,p04,muus-w,R03
839,2,n-o,p04,mooz-w,R03
840,2,7-o,p04,7ook-w,R03
841,2,7-n,p04,7oom-w,R03
842,2,3-o,p04,3aaf-w,R03
843,2,3-o,p04,3eeb-w,R03
844,2,isolation,p04,3eeb-v,R03
845,2,3-n,p04,3aam-w,R03
846,3,7-o,p04,7aad-w,R03
847,2,3-n,p04,3een-w,R03
848,3,3-o,p04,3iish-w,R03
849,2,7-o,p04,7eef-w,R03
850,2,isolation,p04,7eef-v,R03
851,2,o-n,p04,saam-w,R03
852,2,isolation,p04,saam-v,R03
853,3,o-3,p04,baa3-w,R03
854,2,o-o,p04,beet-w,R03
855,2,o-o,p04,boosh-w,R03
856,3,n-3,p01,noo3-w,R03
857,2,isolation,p01,noo3-v,R03
858,2,o-o,p01,daas-w,R03
859,2,n-o,p01,maat-w,R03
860,2,isolation,p01,maat-v,R03
861,2,7-n,p01,7en-w,R03
862,2,o-n,p01,diin-w,R03
863,2,o-7,p01,zaa7-w,R03
864,3,o-3,p01,djuu3-w,R03
865,2,isolation,p01,djuu3-v,R03
866,2,n-7,p01,nuu7-w,R03
867,2,isolation,p01,nuu7-v,R03
868,2,3--3,p01,3oo3-w,R03
869,2,isolation,p01,3oo3-v,R03
870,2,o-7,p01,loo7-w,R03
871,3,o-3,p01,bii3-w,R03
872,2,isolation,p01,bii3-v,R03
873,3,o-7,p01,zii7-w,R03
874,3,3-n,p01,3oon-w,R03
875,2,n-n,p01,noom-w,R03
876,2,n-n,p01,muun-w,R03
877,2,n-o,p01,muus-w,R03
878,2,n-o,p01,mooz-w,R03
879,2,7-o,p01,7ook-w,R03
880,2,7-n,p01,7oom-w,R03
881,2,3-o,p01,3aaf-w,R03
882,2,n-7,p01,naa7-w,R03
883,2,isolation,p01,naa7-v,R03
884,2,n-n,p01,naam-w,R03
885,2,isolation,p01,naam-v,R03
886,2,o-n,p01,doom-w,R03
887,2,isolation,p01,doom-v,R03
888,3,3-o,p01,3eeb-w,R03
889,2,isolation,p01,3eeb-v,R03
890,2,3-n,p01,3aam-w,R03
891,2,7-o,p01,7aad-w,R03
892,3,3-n,p01,3een-w,R03
893,3,3-o,p01,3iish-w,R03
894,2,7-o,p01,7eef-w,R03
895,2,isolation,p01,7eef-v,R03
896,2,o-n,p01,saam-w,R03
897,2,isolation,p01,saam-v,R03
898,2,o-3,p01,baa3-w,R03
899,2,o-o,p01,beet-w,R03
900,2,o-o,p01,boosh-w,R03
901,2,n-3,p05,noo3-w,R03
902,2,isolation,p05,noo3-v,R03
903,2,o-o,p05,daas-w,R03
904,2,n-o,p05,maat-w,R03
905,2,isolation,p05,maat-v,R03
906,3,7-n,p05,7en-w,R03
907,2,o-n,p05,diin-w,R03
908,2,o-7,p05,zaa7-w,R03
909,2,o-3,p05,djuu3-w,R03
910,2,isolation,p05,djuu3-v,R03
911,2,n-7,p05,nuu7-w,R03
912,2,isolation,p05,nuu7-v,R03
913,3,3--3,p05,3oo3-w,R03
914,2,isolation,p05,3oo3-v,R03
915,2,o-7,p05,loo7-w,R03
916,3,o-3,p05,bii3-w,R03
917,2,isolation,p05,bii3-v,R03
918,2,o-7,p05,zii7-w,R03
919,2,n-n,p05,noom-w,R03
920,2,n-n,p05,muun-w,R03
921,2,n-o,p05,muus-w,R03
922,2,n-o,p05,mooz-w,R03
923,3,7-o,p05,7ook-w,R03
924,2,7-n,p05,7oom-w,R03
925,3,3-o,p05,3aaf-w,R03
926,2,n-7,p05,naa7-w,R03
927,2,isolation,p05,naa7-v,R03
928,2,n-n,p05,naam-w,R03
929,2,isolation,p05,naam-v,R03
930,2,o-n,p05,doom-w,R03
931,2,isolation,p05,doom-v,R03
932,3,3-n,p05,3oon-w,R03
933,2,3-o,p05,3eeb-w,R03
934,2,isolation,p05,3eeb-v,R03
935,2,o-n,p05,saam-w,R03
936,2,isolation,p05,saam-v,R03
937,3,3-n,p05,3aam-w,R03
938,2,7-o,p05,7aad-w,R03
939,2,3-n,p05,3een-w,R03
940,3,3-o,p05,3iish-w,R03
941,2,7-o,p05,7eef-w,R03
942,2,isolation,p05,7eef-v,R03
943,2,o-3,p05,baa3-w,R03
944,2,o-o,p05,beet-w,R03
945,2,o-o,p05,boosh-w,R03
946,2,n-3,p02,noo3-w,R03
947,2,isolation,p02,noo3-v,R03
948,2,o-o,p02,daas-w,R03
949,2,n-o,p02,maat-w,R03
950,2,isolation,p02,maat-v,R03
951,2,7-n,p02,7en-w,R03
952,3,o-n,p02,diin-w,R03
953,2,o-7,p02,zaa7-w,R03
954,3,o-3,p02,djuu3-w,R03
955,2,isolation,p02,djuu3-v,R03
956,3,n-7,p02,nuu7-w,R03
957,2,isolation,p02,nuu7-v,R03
958,2,3--3,p02,3oo3-w,R03
959,2,isolation,p02,3oo3-v,R03
960,2,o-7,p02,loo7-w,R03
961,3,o-3,p02,bii3-w,R03
962,2,isolation,p02,bii3-v,R03
963,3,o-7,p02,zii7-w,R03
964,2,n-o,p02,muus-w,R03
965,2,n-o,p02,mooz-w,R03
966,3,7-o,p02,7ook-w,R03
967,2,7-n,p02,7oom-w,R03
968,2,n-7,p02,naa7-w,R03
969,2,3-o,p02,3aaf-w,R03
970,2,isolation,p02,naa7-v,R03
971,2,n-n,p02,naam-w,R03
972,2,isolation,p02,naam-v,R03
973,2,o-n,p02,doom-w,R03
974,2,isolation,p02,doom-v,R03
975,2,3-n,p02,3oon-w,R03
976,2,n-n,p02,noom-w,R03
977,3,n-n,p02,muun-w,R03
978,3,3-o,p02,3eeb-w,R03
979,2,o-n,p02,saam-w,R03
980,2,isolation,p02,saam-v,R03
981,2,isolation,p02,3eeb-v,R03
982,2,3-n,p02,3aam-w,R03
983,2,7-o,p02,7aad-w,R03
984,3,3-n,p02,3een-w,R03
985,3,3-o,p02,3iish-w,R03
986,2,7-o,p02,7eef-w,R03
987,2,isolation,p02,7eef-v,R03
988,2,o-3,p02,baa3-w,R03
989,2,o-o,p02,beet-w,R03
990,2,o-o,p02,boosh-w,R03
991,2,n-3,p03,noo3-w,R03
992,2,isolation,p03,noo3-v,R03
993,2,o-o,p03,daas-w,R03
994,2,n-o,p03,maat-w,R03
995,2,isolation,p03,maat-v,R03
996,2,7-n,p03,7en-w,R03
997,3,o-n,p03,diin-w,R03
998,2,o-7,p03,zaa7-w,R03
999,2,o-3,p03,djuu3-w,R03
1000,2,isolation,p03,djuu3-v,R03
1001,3,n-7,p03,nuu7-w,R03
1002,2,isolation,p03,nuu7-v,R03
1003,2,3--3,p03,3oo3-w,R03
1004,2,isolation,p03,3oo3-v,R03
1005,2,o-7,p03,loo7-w,R03
1006,3,o-3,p03,bii3-w,R03
1007,2,isolation,p03,bii3-v,R03
1008,3,o-7,p03,zii7-w,R03
1009,2,n-n,p03,muun-w,R03
1010,2,n-o,p03,muus-w,R03
1011,2,n-o,p03,mooz-w,R03
1012,2,7-o,p03,7ook-w,R03
1013,2,7-n,p03,7oom-w,R03
1014,2,3-o,p03,3aaf-w,R03
1015,2,n-7,p03,naa7-w,R03
1016,2,isolation,p03,naa7-v,R03
1017,2,n-n,p03,naam-w,R03
1018,2,isolation,p03,naam-v,R03
1019,2,o-n,p03,doom-w,R03
1020,2,isolation,p03,doom-v,R03
1021,3,3-n,p03,3oon-w,R03
1022,2,n-n,p03,noom-w,R03
1023,3,3-o,p03,3eeb-w,R03
1024,2,isolation,p03,3eeb-v,R03
1025,2,3-n,p03,3aam-w,R03
1026,3,7-o,p03,7aad-w,R03
1027,2,3-n,p03,3een-w,R03
1028,3,3-o,p03,3iish-w,R03
1029,2,7-o,p03,7eef-w,R03
1030,2,isolation,p03,7eef-v,R03
1031,2,o-n,p03,saam-w,R03
1032,2,isolation,p03,saam-v,R03
1033,2,o-3,p03,baa3-w,R03
1034,2,o-o,p03,beet-w,R03
1035,2,o-o,p03,boosh-w,R03
1036,2,n-3,p06,noo3-w,R03
1037,2,isolation,p06,noo3-v,R03
1038,2,o-o,p06,daas-w,R03
1039,2,n-o,p06,maat-w,R03
1040,2,isolation,p06,maat-v,R03
1041,2,7-n,p06,7en-w,R03
1042,3,o-n,p06,diin-w,R03
1043,2,o-7,p06,zaa7-w,R03
1044,2,o-3,p06,djuu3-w,R03
1045,2,isolation,p06,djuu3-v,R03
1046,2,n-7,p06,nuu7-w,R03
1047,2,isolation,p06,nuu7-v,R03
1048,2,3--3,p06,3oo3-w,R03
1049,2,isolation,p06,3oo3-v,R03
1050,2,o-7,p06,loo7-w,R03
1051,3,o-3,p06,bii3-w,R03
1052,3,isolation,p06,bii3-v,R03
1053,3,o-7,p06,zii7-w,R03
1054,2,n-n,p06,noom-w,R03
1055,2,n-n,p06,muun-w,R03
1056,2,n-o,p06,muus-w,R03
1057,2,n-o,p06,mooz-w,R03
1058,2,7-o,p06,7ook-w,R03
1059,2,7-n,p06,7oom-w,R03
1060,2,3-o,p06,3aaf-w,R03
1061,2,n-7,p06,naa7-w,R03
1062,2,isolation,p06,naa7-v,R03
1063,2,n-n,p06,naam-w,R03
1064,2,isolation,p06,naam-v,R03
1065,2,o-n,p06,doom-w,R03
1066,2,isolation,p06,doom-v,R03
1067,2,3-n,p06,3oon-w,R03
1068,2,3-o,p06,3eeb-w,R03
1069,2,isolation,p06,3eeb-v,R03
1070,2,3-n,p06,3aam-w,R03
1071,2,7-o,p06,7aad-w,R03
1072,2,3-n,p06,3een-w,R03
1073,3,3-o,p06,3iish-w,R03
1074,2,7-o,p06,7eef-w,R03
1075,2,isolation,p06,7eef-v,R03
1076,2,o-n,p06,saam-w,R03
1077,2,isolation,p06,saam-v,R03
1078,3,o-3,p06,baa3-w,R03
1079,2,o-o,p06,beet-w,R03
1080,2,o-o,p06,boosh-w,R03
1081,3,n-3,p07,noo3-w,R03
1082,2,isolation,p07,noo3-v,R03
1083,2,o-3,p07,djuu3-w,R03
1084,2,isolation,p07,djuu3-v,R03
1085,3,n-7,p07,nuu7-w,R03
1086,2,isolation,p07,nuu7-v,R03
1087,3,3--3,p07,3oo3-w,R03
1088,2,isolation,p07,3oo3-v,R03
1089,3,o-7,p07,loo7-w,R03
1090,3,o-3,p07,bii3-w,R03
1091,2,isolation,p07,bii3-v,R03
1092,3,o-7,p07,zii7-w,R03
1093,2,o-o,p07,daas-w,R03
1094,2,n-o,p07,maat-w,R03
1095,2,isolation,p07,maat-v,R03
1096,2,7-n,p07,7en-w,R03
1097,3,o-n,p07,diin-w,R03
1098,2,o-7,p07,zaa7-w,R03
1099,2,n-7,p07,naa7-w,R03
1100,2,isolation,p07,naa7-v,R03
1101,2,n-n,p07,naam-w,R03
1102,2,isolation,p07,naam-v,R03
1103,2,o-n,p07,doom-w,R03
1104,2,isolation,p07,doom-v,R03
1105,2,3-n,p07,3oon-w,R03
1106,2,n-n,p07,noom-w,R03
1107,2,n-n,p07,muun-w,R03
1108,2,n-o,p07,muus-w,R03
1109,2,n-o,p07,mooz-w,R03
1110,2,7-o,p07,7ook-w,R03
1111,2,7-n,p07,7oom-w,R03
1112,2,3-o,p07,3aaf-w,R03
1113,3,3-o,p07,3eeb-w,R03
1114,2,isolation,p07,3eeb-v,R03
1115,2,o-n,p07,saam-w,R03
1116,2,isolation,p07,saam-v,R03
1117,2,3-n,p07,3aam-w,R03
1118,2,7-o,p07,7aad-w,R03
1119,2,3-n,p07,3een-w,R03
1120,2,3-o,p07,3iish-w,R03
1121,2,7-o,p07,7eef-w,R03
1122,2,isolation,p07,7eef-v,R03
1123,2,o-3,p07,baa3-w,R03
1124,2,o-o,p07,beet-w,R03
1125,2,o-o,p07,boosh-w,R03
1126,2,n-3,p08,noo3-w,R03
1127,2,isolation,p08,noo3-v,R03
1128,2,o-o,p08,daas-w,R03
1129,2,n-o,p08,maat-w,R03
1130,2,isolation,p08,maat-v,R03
1131,3,7-n,p08,7en-w,R03
1132,2,o-n,p08,diin-w,R03
1133,3,o-3,p08,djuu3-w,R03
1134,2,isolation,p08,djuu3-v,R03
1135,3,n-7,p08,nuu7-w,R03
1136,2,isolation,p08,nuu7-v,R03
1137,2,3--3,p08,3oo3-w,R03
1138,2,isolation,p08,3oo3-v,R03
1139,2,o-7,p08,loo7-w,R03
1140,2,o-3,p08,bii3-w,R03
1141,2,isolation,p08,bii3-v,R03
1142,3,o-7,p08,zii7-w,R03
1143,3,o-7,p08,zaa7-w,R03
1144,2,o-n,p08,doom-w,R03
1145,2,isolation,p08,doom-v,R03
1146,3,3-n,p08,3oon-w,R03
1147,2,n-n,p08,noom-w,R03
1148,2,n-n,p08,muun-w,R03
1149,2,n-o,p08,muus-w,R03
1150,2,n-o,p08,mooz-w,R03
1151,2,7-o,p08,7ook-w,R03
1152,3,7-n,p08,7oom-w,R03
1153,2,3-o,p08,3aaf-w,R03
1154,3,n-7,p08,naa7-w,R03
1155,2,isolation,p08,naa7-v,R03
1156,2,n-n,p08,naam-w,R03
1157,2,isolation,p08,naam-v,R03
1158,2,3-o,p08,3eeb-w,R03
1159,2,isolation,p08,3eeb-v,R03
1160,2,o-n,p08,saam-w,R03
1161,2,isolation,p08,saam-v,R03
1162,2,3-n,p08,3aam-w,R03
1163,3,7-o,p08,7aad-w,R03
1164,3,3-n,p08,3een-w,R03
1165,3,3-o,p08,3iish-w,R03
1166,2,7-o,p08,7eef-w,R03
1167,2,isolation,p08,7eef-v,R03
1168,2,o-3,p08,baa3-w,R03
1169,2,o-o,p08,beet-w,R03
1170,2,o-o,p08,boosh-w,R03
1171,3,n-3,p09,noo3-w,R03
1172,2,isolation,p09,noo3-v,R03
1173,2,o-o,p09,daas-w,R03
1174,2,n-o,p09,maat-w,R03
1175,2,isolation,p09,maat-v,R03
1176,3,7-n,p09,7en-w,R03
1177,2,o-n,p09,diin-w,R03
1178,2,o-7,p09,zaa7-w,R03
1179,3,o-3,p09,djuu3-w,R03
1180,2,isolation,p09,djuu3-v,R03
1181,2,n-7,p09,nuu7-w,R03
1182,2,isolation,p09,nuu7-v,R03
1183,3,3--3,p09,3oo3-w,R03
1184,2,isolation,p09,3oo3-v,R03
1185,2,o-7,p09,loo7-w,R03
1186,3,o-3,p09,bii3-w,R03
1187,2,isolation,p09,bii3-v,R03
1188,3,o-7,p09,zii7-w,R03
1189,1,n-n,p09,noom-w,R03
1190,2,n-n,p09,muun-w,R03
1191,2,n-o,p09,muus-w,R03
1192,2,n-o,p09,mooz-w,R03
1193,1,7-o,p09,7ook-w,R03
1194,1,7-n,p09,7oom-w,R03
1195,3,3-o,p09,3aaf-w,R03
1196,2,n-7,p09,naa7-w,R03
1197,2,isolation,p09,naa7-v,R03
1198,2,n-n,p09,naam-w,R03
1199,3,isolation,p09,naam-v,R03
1200,2,o-n,p09,doom-w,R03
1201,2,isolation,p09,doom-v,R03
1202,3,3-n,p09,3oon-w,R03
1203,2,3-o,p09,3eeb-w,R03
1204,2,isolation,p09,3eeb-v,R03
1205,2,o-n,p09,saam-w,R03
1206,2,isolation,p09,saam-v,R03
1207,2,3-n,p09,3aam-w,R03
1208,3,7-o,p09,7aad-w,R03
1209,3,3-n,p09,3een-w,R03
1210,3,3-o,p09,3iish-w,R03
1211,1,7-o,p09,7eef-w,R03
1212,2,isolation,p09,7eef-v,R03
1213,2,o-3,p09,baa3-w,R03
1214,2,o-o,p09,beet-w,R03
1215,2,o-o,p09,boosh-w,R03
1216,2,n-3,p04,noo3-w,R04
1217,1,isolation,p04,noo3-v,R04
1218,1,o-3,p04,djuu3-w,R04
1219,1,isolation,p04,djuu3-v,R04
1220,1,n-7,p04,nuu7-w,R04
1221,1,isolation,p04,nuu7-v,R04
1222,2,3--3,p04,3oo3-w,R04
1223,2,isolation,p04,3oo3-v,R04
1224,2,o-7,p04,loo7-w,R04
1225,2,o-3,p04,bii3-w,R04
1226,2,isolation,p04,bii3-v,R04
1227,3,o-7,p04,zii7-w,R04
1228,1,o-o,p04,daas-w,R04
1229,2,n-o,p04,maat-w,R04
1230,2,isolation,p04,maat-v,R04
1231,2,7-n,p04,7en-w,R04
1232,1,o-n,p04,diin-w,R04
1233,1,o-7,p04,zaa7-w,R04
1234,2,n-7,p04,naa7-w,R04
1235,1,isolation,p04,naa7-v,R04
1236,1,n-n,p04,naam-w,R04
1237,1,isolation,p04,naam-v,R04
1238,2,o-n,p04,doom-w,R04
1239,2,isolation,p04,doom-v,R04
1240,2,3-n,p04,3oon-w,R04
1241,2,n-n,p04,noom-w,R04
1242,2,n-n,p04,muun-w,R04
1243,2,n-o,p04,muus-w,R04
1244,1,n-o,p04,mooz-w,R04
1245,2,7-o,p04,7ook-w,R04
1246,1,7-n,p04,7oom-w,R04
1247,1,3-o,p04,3aaf-w,R04
1248,3,3-o,p04,3eeb-w,R04
1249,1,isolation,p04,3eeb-v,R04
1250,2,3-n,p04,3aam-w,R04
1251,2,7-o,p04,7aad-w,R04
1252,2,3-n,p04,3een-w,R04
1253,2,3-o,p04,3iish-w,R04
1254,2,7-o,p04,7eef-w,R04
1255,1,isolation,p04,7eef-v,R04
1256,2,o-n,p04,saam-w,R04
1257,2,isolation,p04,saam-v,R04
1258,2,o-3,p04,baa3-w,R04
1259,1,o-o,p04,beet-w,R04
1260,2,o-o,p04,boosh-w,R04
1261,3,n-3,p01,noo3-w,R04
1262,2,isolation,p01,noo3-v,R04
1263,2,o-o,p01,daas-w,R04
1264,2,n-o,p01,maat-w,R04
1265,2,isolation,p01,maat-v,R04
1266,3,7-n,p01,7en-w,R04
1267,2,o-n,p01,diin-w,R04
1268,2,o-7,p01,zaa7-w,R04
1269,2,o-3,p01,djuu3-w,R04
1270,2,isolation,p01,djuu3-v,R04
1271,2,n-7,p01,nuu7-w,R04
1272,1,isolation,p01,nuu7-v,R04
1273,3,3--3,p01,3oo3-w,R04
1274,2,isolation,p01,3oo3-v,R04
1275,2,o-7,p01,loo7-w,R04
1276,2,o-3,p01,bii3-w,R04
1277,3,isolation,p01,bii3-v,R04
1278,2,o-7,p01,zii7-w,R04
1279,3,3-n,p01,3oon-w,R04
1280,3,n-n,p01,noom-w,R04
1281,2,n-n,p01,muun-w,R04
1282,2,n-o,p01,muus-w,R04
1283,2,n-o,p01,mooz-w,R04
1284,2,7-o,p01,7ook-w,R04
1285,2,7-n,p01,7oom-w,R04
1286,3,3-o,p01,3aaf-w,R04
1287,2,n-7,p01,naa7-w,R04
1288,2,isolation,p01,naa7-v,R04
1289,3,n-n,p01,naam-w,R04
1290,2,isolation,p01,naam-v,R04
1291,2,o-n,p01,doom-w,R04
1292,2,isolation,p01,doom-v,R04
1293,3,3-o,p01,3eeb-w,R04
1294,2,isolation,p01,3eeb-v,R04
1295,3,3-n,p01,3aam-w,R04
1296,3,7-o,p01,7aad-w,R04
1297,3,3-n,p01,3een-w,R04
1298,3,3-o,p01,3iish-w,R04
1299,3,7-o,p01,7eef-w,R04
1300,2,isolation,p01,7eef-v,R04
1301,2,o-n,p01,saam-w,R04
1302,2,isolation,p01,saam-v,R04
1303,2,o-3,p01,baa3-w,R04
1304,2,o-o,p01,beet-w,R04
1305,2,o-o,p01,boosh-w,R04
1306,1,n-3,p05,noo3-w,R04
1307,2,isolation,p05,noo3-v,R04
1308,1,o-o,p05,daas-w,R04
1309,2,n-o,p05,maat-w,R04
1310,1,isolation,p05,maat-v,R04
1311,2,7-n,p05,7en-w,R04
1312,1,o-n,p05,diin-w,R04
1313,2,o-7,p05,zaa7-w,R04
1314,2,o-3,p05,djuu3-w,R04
1315,2,isolation,p05,djuu3-v,R04
1316,2,n-7,p05,nuu7-w,R04
1317,2,isolation,p05,nuu7-v,R04
1318,3,3--3,p05,3oo3-w,R04
1319,1,isolation,p05,3oo3-v,R04
1320,1,o-7,p05,loo7-w,R04
1321,3,o-3,p05,bii3-w,R04
1322,1,isolation,p05,bii3-v,R04
1323,1,o-7,p05,zii7-w,R04
1324,2,n-n,p05,noom-w,R04
1325,1,n-n,p05,muun-w,R04
1326,1,n-o,p05,muus-w,R04
1327,3,n-o,p05,mooz-w,R04
1328,3,7-o,p05,7ook-w,R04
1329,3,7-n,p05,7oom-w,R04
1330,3,3-o,p05,3aaf-w,R04
1331,2,n-7,p05,naa7-w,R04
1332,2,isolation,p05,naa7-v,R04
1333,1,n-n,p05,naam-w,R04
1334,2,isolation,p05,naam-v,R04
1335,1,o-n,p05,doom-w,R04
1336,1,isolation,p05,doom-v,R04
1337,3,3-n,p05,3oon-w,R04
1338,2,3-o,p05,3eeb-w,R04
1339,2,isolation,p05,3eeb-v,R04
1340,1,o-n,p05,saam-w,R04
1341,2,isolation,p05,saam-v,R04
1342,3,3-n,p05,3aam-w,R04
1343,3,7-o,p05,7aad-w,R04
1344,3,3-n,p05,3een-w,R04
1345,2,3-o,p05,3iish-w,R04
1346,1,7-o,p05,7eef-w,R04
1347,2,isolation,p05,7eef-v,R04
1348,3,o-3,p05,baa3-w,R04
1349,2,o-o,p05,beet-w,R04
1350,2,o-o,p05,boosh-w,R04
1351,2,n-3,p02,noo3-w,R04
1352,1,isolation,p02,noo3-v,R04
1353,1,o-o,p02,daas-w,R04
1354,1,n-o,p02,maat-w,R04
1355,2,isolation,p02,maat-v,R04
1356,3,7-n,p02,7en-w,R04
1357,1,o-n,p02,diin-w,R04
1358,2,o-7,p02,zaa7-w,R04
1359,2,o-3,p02,djuu3-w,R04
1360,1,isolation,p02,djuu3-v,R04
1361,2,n-7,p02,nuu7-w,R04
1362,1,isolation,p02,nuu7-v,R04
1363,3,3--3,p02,3oo3-w,R04
1364,2,isolation,p02,3oo3-v,R04
1365,2,o-7,p02,loo7-w,R04
1366,2,o-3,p02,bii3-w,R04
1367,2,isolation,p02,bii3-v,R04
1368,2,o-7,p02,zii7-w,R04
1369,2,n-o,p02,muus-w,R04
1370,2,n-o,p02,mooz-w,R04
1371,2,7-o,p02,7ook-w,R04
1372,2,7-n,p02,7oom-w,R04
1373,1,n-7,p02,naa7-w,R04
1374,2,3-o,p02,3aaf-w,R04
1375,1,isolation,p02,naa7-v,R04
1376,1,n-n,p02,naam-w,R04
1377,1,isolation,p02,naam-v,R04
1378,2,o-n,p02,doom-w,R04
1379,2,isolation,p02,doom-v,R04
1380,2,3-n,p02,3oon-w,R04
1381,2,n-n,p02,noom-w,R04
1382,2,n-n,p02,muun-w,R04
1383,3,3-o,p02,3eeb-w,R04
1384,2,o-n,p02,saam-w,R04
1385,2,isolation,p02,saam-v,R04
1386,3,isolation,p02,3eeb-v,R04
